City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,muswellbrook,-32.2667,150.9,299.44,56,2,1.82,AU,1675638496
230,kalmunai,7.4167,81.8167,297.28,88,100,3.08,LK,1675638497
231,diego de almagro,-26.3667,-70.05,297.47,42,38,5.19,CL,1675638230
232,okotoks,50.7289,-113.9828,279.22,91,76,1.19,CA,1675638218
233,vostok,46.4856,135.8833,251.43,99,98,2.06,RU,1675638498
234,tabou,4.423,-7.3528,299.52,86,96,3.81,CI,1675638498
235,slave lake,55.2834,-114.769,273.14,86,100,1.54,CA,1675638267
236,kuyanovo,55.8014,54.5372,261.83,97,100,1.49,RU,1675638499
237,mul,20.0667,79.6667,290.01,25,2,1.47,IN,1675638500
238,broome,42.2506,-75.833,279.15,55,100,5.14,US,1675638500
239,nishihara,26.1842,127.7558,291.18,100,100,4.12,JP,1675638501
240,byron bay,-28.65,153.6167,299.79,56,75,3.15,AU,1675638200
241,baturaja,-4.1333,104.1667,294.4,84,100,1.15,ID,1675638502
242,chokurdakh,70.6333,147.9167,232.01,100,66,0.51,RU,1675638502
243,bengkulu,-3.8004,102.2655,296.33,87,95,3.45,ID,1675638503
